last_name;qual_rank;pace_pts
Leclerc;1;281.2
Verstappen;2;215.7
Sainz;3;199.2
Perez;4;175.6
Hamilton;5;168.9
Bottas;6;139.4
Magnussen;7;133.5
Alonso;8;117.0
Russell;9;117.0
Gasly;10;117.0
Ocon;11;83.5
Schumacher;12;83.5
Norris;13;82.8
Albon;14;82.8
Zhou;15;82.8
Tsunoda;16;82.8
Hülkenberg;17;77.0
Ricciardo;18;72.6
Stroll;19;64.4
Latifi;20;33.3
