event,pos,name,cost,points,ppm
17,17th,Esteban Ocon,8.69,26,3
17,18th,Alexander Albon,6.06,25,4
17,19th,Nicholas Latifi,5.49,7,1
17,20th,Guanyu Zhou,5.48,6,1
18,1st,Max Verstappen,21.15,278,13
18,2nd,Sergio Pérez,14.09,158,11
18,3rd,Charles Leclerc,13.95,148,11
18,4th,Sebastian Vettel,7.39,132,18
18,5th,Esteban Ocon,8.04,128,16
18,6th,Lewis Hamilton,13.26,113,9
18,7th,Nicholas Latifi,5.00,108,22
18,8th,Fernando Alonso,7.86,86,11
18,10th,George Russell,12.07,74,6
18,9th,Lance Stroll,7.40,74,10
18,11th,Guanyu Zhou,4.98,61,12
18,12th,Kevin Magnussen,5.82,55,9
18,13th,Lando Norris,9.52,50,5
18,14th,Pierre Gasly,7.29,49,7
18,15th,Daniel Ricciardo,7.58,46,6
18,16th,Yuki Tsunoda,5.71,42,7
18,17th,Valtteri Bottas,6.45,38,6
18,18th,Mick Schumacher,6.34,32,5
18,19th,Carlos Sainz Jr.,13.14,25,2
18,20th,Alexander Albon,5.67,0,0
19,1st,Max Verstappen,22.03,286,13
19,2nd,Charles Leclerc,14.15,221,16
19,3rd,Sergio Pérez,14.38,181,13
19,4th,Lewis Hamilton,13.15,176,13
19,5th,George Russell,11.66,161,14
19,6th,Sebastian Vettel,8.07,146,18
19,7th,Yuki Tsunoda,5.59,136,24
19,8th,Esteban Ocon,8.61,126,15
19,9th,Lando Norris,9.11,122,13
19,10th,Kevin Magnussen,5.83,121,21
19,11th,Guanyu Zhou,5.14,109,21
19,12th,Mick Schumacher,6.05,78,13
19,13th,Alexander Albon,5.10,72,14
19,14th,Pierre Gasly,7.09,70,10
19,15th,Fernando Alonso,8.00,70,9
19,16th,Daniel Ricciardo,7.32,64,9
19,17th,Nicholas Latifi,5.66,62,11
19,18th,Carlos Sainz Jr.,12.10,51,4
19,19th,Lance Stroll,7.46,29,4
19,20th,Valtteri Bottas,6.21,18,3
